Time (s) Run #1,Light Intensity (lx) Run #1,Time (s) Run #2,Light Intensity (lx) Run #2,Time (s) Run #3,Light Intensity (lx) Run #3,Time (s) Run #4,Light Intensity (lx) Run #4,Time (s) Run #5,Light Intensity (lx) Run #5,Time (s) Run #6,Light Intensity (lx) Run #6,Time (s) Run #7,Light Intensity (lx) Run #7,Time (s) Run #8,Light Intensity (lx) Run #8,Time (s) Run #9,Light Intensity (lx) Run #9,Time (s) Run #10,Light Intensity (lx) Run #10,Time (s) Run #11,Light Intensity (lx) Run #11,Time (s) Run #12,Light Intensity (lx) Run #12,Time (s) Run #13,Light Intensity (lx) Run #13,Time (s) Run #14,Light Intensity (lx) Run #14,Time (s) Run #15,Light Intensity (lx) Run #15,Time (s) Run #16,Light Intensity (lx) Run #16,Time (s) Run #17,Light Intensity (lx) Run #17,Time (s) Run #18,Light Intensity (lx) Run #18,Time (s) Run #19,Light Intensity (lx) Run #19,Time (s) Run #20,Light Intensity (lx) Run #20,Time (s) Run #21,Light Intensity (lx) Run #21,Time (s) Run #22,Light Intensity (lx) Run #22,Time (s) Run #23,Light Intensity (lx) Run #23,Time (s) Run #24,Light Intensity (lx) Run #24,Time (s) Run #25,Light Intensity (lx) Run #25,Time (s) Run #26,Light Intensity (lx) Run #26,Time (s) Run #27,Light Intensity (lx) Run #27,Time (s) Run #28,Light Intensity (lx) Run #28,Time (s) Run #29,Light Intensity (lx) Run #29,Time (s) Run #30,Light Intensity (lx) Run #30,Time (s) Run #31,Light Intensity (lx) Run #31,Time (s) Run #32,Light Intensity (lx) Run #32,Time (s) Run #33,Light Intensity (lx) Run #33,Time (s) Run #34,Light Intensity (lx) Run #34,Time (s) Run #35,Light Intensity (lx) Run #35
0,435.79,0,390.93,0,294.8,0,262.76,0,272.37,0,333.25,0,422.97,0,499.88,0,563.96,0,596.01,0,653.69,0,640.87,0,647.28,0,653.69,0,656.89,0,685.73,0,666.5,0,672.91,0,672.91,0,685.73,0,679.32,0,685.73,0,672.91,0,685.73,0,660.1,0,679.32,0,647.28,0,672.91,0,660.1,0,634.46,0,612.03,0,570.37,0,531.92,0,493.47,0,451.81
0.05,432.59,0.05,390.93,0.05,294.8,0.05,262.76,0.05,275.57,0.05,339.66,0.05,422.97,0.05,506.29,0.05,563.96,0.05,602.42,0.05,647.28,0.05,637.66,0.05,653.69,0.05,653.69,0.05,660.1,0.05,685.73,0.05,669.71,0.05,666.5,0.05,679.32,0.05,685.73,0.05,679.32,0.05,679.32,0.05,679.32,0.05,685.73,0.05,660.1,0.05,679.32,0.05,647.28,0.05,666.5,0.05,660.1,0.05,634.46,0.05,618.44,0.05,573.58,0.05,525.51,0.05,493.47,0.05,448.61
0.1,429.38,0.1,390.93,0.1,294.8,0.1,262.76,0.1,275.57,0.1,339.66,0.1,429.38,0.1,506.29,0.1,570.37,0.1,599.21,0.1,647.28,0.1,637.66,0.1,647.28,0.1,653.69,0.1,660.1,0.1,685.73,0.1,666.5,0.1,672.91,0.1,692.14,0.1,685.73,0.1,679.32,0.1,679.32,0.1,672.91,0.1,692.14,0.1,660.1,0.1,685.73,0.1,647.28,0.1,672.91,0.1,660.1,0.1,634.46,0.1,621.64,0.1,570.37,0.1,528.72,0.1,490.26,0.1,448.61
0.15,432.59,0.15,390.93,0.15,294.8,0.15,259.55,0.15,275.57,0.15,339.66,0.15,422.97,0.15,499.88,0.15,570.37,0.15,596.01,0.15,647.28,0.15,640.87,0.15,644.07,0.15,653.69,0.15,656.89,0.15,685.73,0.15,666.5,0.15,672.91,0.15,679.32,0.15,679.32,0.15,685.73,0.15,685.73,0.15,672.91,0.15,685.73,0.15,660.1,0.15,679.32,0.15,647.28,0.15,672.91,0.15,653.69,0.15,634.46,0.15,621.64,0.15,570.37,0.15,531.92,0.15,487.06,0.15,448.61
0.2,435.79,0.2,390.93,0.2,294.8,0.2,262.76,0.2,272.37,0.2,333.25,0.2,422.97,0.2,499.88,0.2,567.17,0.2,596.01,0.2,653.69,0.2,640.87,0.2,640.87,0.2,653.69,0.2,656.89,0.2,685.73,0.2,666.5,0.2,672.91,0.2,672.91,0.2,685.73,0.2,679.32,0.2,685.73,0.2,672.91,0.2,685.73,0.2,660.1,0.2,679.32,0.2,647.28,0.2,672.91,0.2,653.69,0.2,634.46,0.2,615.23,0.2,570.37,0.2,531.92,0.2,487.06,0.2,448.61
0.25,435.79,0.25,390.93,0.25,294.8,0.25,262.76,0.25,272.37,0.25,333.25,0.25,422.97,0.25,503.08,0.25,563.96,0.25,602.42,0.25,653.69,0.25,637.66,0.25,653.69,0.25,653.69,0.25,660.1,0.25,685.73,0.25,666.5,0.25,666.5,0.25,672.91,0.25,685.73,0.25,679.32,0.25,679.32,0.25,676.12,0.25,682.53,0.25,660.1,0.25,679.32,0.25,647.28,0.25,666.5,0.25,660.1,0.25,634.46,0.25,615.23,0.25,570.37,0.25,531.92,0.25,493.47,0.25,448.61
0.3,429.38,0.3,390.93,0.3,294.8,0.3,259.55,0.3,275.57,0.3,339.66,0.3,429.38,0.3,506.29,0.3,563.96,0.3,602.42,0.3,647.28,0.3,640.87,0.3,650.48,0.3,653.69,0.3,660.1,0.3,685.73,0.3,666.5,0.3,672.91,0.3,685.73,0.3,685.73,0.3,679.32,0.3,679.32,0.3,676.12,0.3,692.14,0.3,660.1,0.3,685.73,0.3,647.28,0.3,672.91,0.3,660.1,0.3,634.46,0.3,621.64,0.3,570.37,0.3,525.51,0.3,493.47,0.3,448.61
0.35,432.59,0.35,390.93,0.35,294.8,0.35,259.55,0.35,275.57,0.35,339.66,0.35,429.38,0.35,506.29,0.35,570.37,0.35,596.01,0.35,647.28,0.35,640.87,0.35,647.28,0.35,660.1,0.35,660.1,0.35,685.73,0.35,663.3,0.35,672.91,0.35,685.73,0.35,685.73,0.35,679.32,0.35,679.32,0.35,672.91,0.35,685.73,0.35,660.1,0.35,682.53,0.35,647.28,0.35,672.91,0.35,660.1,0.35,634.46,0.35,621.64,0.35,573.58,0.35,531.92,0.35,487.06,0.35,448.61
0.4,432.59,0.4,390.93,0.4,294.8,0.4,262.76,0.4,272.37,0.4,339.66,0.4,422.97,0.4,499.88,0.4,570.37,0.4,596.01,0.4,647.28,0.4,640.87,0.4,640.87,0.4,653.69,0.4,656.89,0.4,685.73,0.4,666.5,0.4,672.91,0.4,676.12,0.4,679.32,0.4,685.73,0.4,685.73,0.4,672.91,0.4,685.73,0.4,660.1,0.4,679.32,0.4,647.28,0.4,672.91,0.4,653.69,0.4,634.46,0.4,621.64,0.4,570.37,0.4,531.92,0.4,487.06,0.4,448.61
0.45,435.79,0.45,390.93,0.45,294.8,0.45,262.76,0.45,272.37,0.45,333.25,0.45,422.97,0.45,499.88,0.45,563.96,0.45,596.01,0.45,653.69,0.45,640.87,0.45,647.28,0.45,650.48,0.45,660.1,0.45,685.73,0.45,666.5,0.45,669.71,0.45,672.91,0.45,685.73,0.45,679.32,0.45,685.73,0.45,672.91,0.45,685.73,0.45,660.1,0.45,679.32,0.45,647.28,0.45,672.91,0.45,660.1,0.45,634.46,0.45,612.03,0.45,570.37,0.45,531.92,0.45,493.47,0.45,455.02
0.5,432.59,0.5,390.93,0.5,294.8,0.5,262.76,0.5,272.37,0.5,339.66,0.5,422.97,0.5,506.29,0.5,563.96,0.5,602.42,0.5,647.28,0.5,640.87,0.5,653.69,0.5,653.69,0.5,660.1,0.5,685.73,0.5,666.5,0.5,666.5,0.5,672.91,0.5,685.73,0.5,679.32,0.5,679.32,0.5,682.53,0.5,685.73,0.5,660.1,0.5,679.32,0.5,647.28,0.5,666.5,0.5,660.1,0.5,634.46,0.5,618.44,0.5,570.37,0.5,525.51,0.5,493.47,0.5,448.61
0.55,432.59,0.55,390.93,0.55,294.8,0.55,259.55,0.55,275.57,0.55,339.66,0.55,429.38,0.55,506.29,0.55,570.37,0.55,602.42,0.55,647.28,0.55,637.66,0.55,647.28,0.55,653.69,0.55,660.1,0.55,685.73,0.55,666.5,0.55,672.91,0.55,688.93,0.55,685.73,0.55,679.32,0.55,679.32,0.55,672.91,0.55,692.14,0.55,660.1,0.55,685.73,0.55,647.28,0.55,672.91,0.55,660.1,0.55,634.46,0.55,621.64,0.55,570.37,0.55,528.72,0.55,490.26,0.55,448.61
0.6,429.38,0.6,390.93,0.6,294.8,0.6,259.55,0.6,272.37,0.6,339.66,0.6,422.97,0.6,499.88,0.6,573.58,0.6,596.01,0.6,647.28,0.6,640.87,0.6,644.07,0.6,653.69,0.6,656.89,0.6,685.73,0.6,666.5,0.6,672.91,0.6,679.32,0.6,679.32,0.6,682.53,0.6,682.53,0.6,672.91,0.6,685.73,0.6,660.1,0.6,679.32,0.6,647.28,0.6,672.91,0.6,653.69,0.6,634.46,0.6,621.64,0.6,570.37,0.6,531.92,0.6,487.06,0.6,448.61
0.65,435.79,0.65,390.93,0.65,294.8,0.65,262.76,0.65,275.57,0.65,333.25,0.65,422.97,0.65,499.88,0.65,567.17,0.65,596.01,0.65,653.69,0.65,640.87,0.65,640.87,0.65,653.69,0.65,656.89,0.65,685.73,0.65,666.5,0.65,672.91,0.65,672.91,0.65,682.53,0.65,679.32,0.65,688.93,0.65,672.91,0.65,685.73,0.65,660.1,0.65,679.32,0.65,647.28,0.65,672.91,0.65,653.69,0.65,634.46,0.65,615.23,0.65,570.37,0.65,531.92,0.65,487.06,0.65,448.61
0.7,435.79,0.7,390.93,0.7,294.8,0.7,262.76,0.7,272.37,0.7,333.25,0.7,422.97,0.7,506.29,0.7,563.96,0.7,599.21,0.7,653.69,0.7,637.66,0.7,653.69,0.7,653.69,0.7,660.1,0.7,685.73,0.7,666.5,0.7,666.5,0.7,672.91,0.7,685.73,0.7,679.32,0.7,679.32,0.7,672.91,0.7,685.73,0.7,660.1,0.7,679.32,0.7,647.28,0.7,666.5,0.7,660.1,0.7,634.46,0.7,615.23,0.7,570.37,0.7,531.92,0.7,493.47,0.7,448.61
0.75,429.38,0.75,390.93,0.75,294.8,0.75,262.76,0.75,272.37,0.75,339.66,0.75,429.38,0.75,506.29,0.75,567.17,0.75,602.42,0.75,647.28,0.75,637.66,0.75,653.69,0.75,653.69,0.75,660.1,0.75,685.73,0.75,666.5,0.75,672.91,0.75,672.91,0.75,685.73,0.75,679.32,0.75,679.32,0.75,679.32,0.75,692.14,0.75,660.1,0.75,685.73,0.75,647.28,0.75,672.91,0.75,660.1,0.75,634.46,0.75,621.64,0.75,573.58,0.75,525.51,0.75,493.47,0.75,448.61
0.8,429.38,0.8,390.93,0.8,294.8,0.8,259.55,0.8,272.37,0.8,339.66,0.8,429.38,0.8,506.29,0.8,570.37,0.8,596.01,0.8,647.28,0.8,640.87,0.8,647.28,0.8,660.1,0.8,660.1,0.8,685.73,0.8,663.3,0.8,672.91,0.8,692.14,0.8,685.73,0.8,679.32,0.8,679.32,0.8,672.91,0.8,685.73,0.8,660.1,0.8,682.53,0.8,647.28,0.8,672.91,0.8,660.1,0.8,634.46,0.8,621.64,0.8,573.58,0.8,531.92,0.8,487.06,0.8,448.61
0.85,432.59,0.85,390.93,0.85,294.8,0.85,262.76,0.85,272.37,0.85,339.66,0.85,422.97,0.85,499.88,0.85,570.37,0.85,596.01,0.85,647.28,0.85,640.87,0.85,644.07,0.85,653.69,0.85,656.89,0.85,685.73,0.85,666.5,0.85,672.91,0.85,679.32,0.85,679.32,0.85,685.73,0.85,685.73,0.85,672.91,0.85,685.73,0.85,660.1,0.85,679.32,0.85,647.28,0.85,672.91,0.85,653.69,0.85,634.46,0.85,621.64,0.85,570.37,0.85,531.92,0.85,487.06,0.85,448.61
0.9,435.79,0.9,390.93,0.9,294.8,0.9,262.76,0.9,275.57,0.9,333.25,0.9,422.97,0.9,499.88,0.9,563.96,0.9,596.01,0.9,653.69,0.9,640.87,0.9,647.28,0.9,653.69,0.9,656.89,0.9,685.73,0.9,666.5,0.9,669.71,0.9,672.91,0.9,685.73,0.9,679.32,0.9,685.73,0.9,672.91,0.9,685.73,0.9,660.1,0.9,679.32,0.9,647.28,0.9,672.91,0.9,660.1,0.9,634.46,0.9,615.23,0.9,570.37,0.9,531.92,0.9,490.26,0.9,455.02
0.95,432.59,0.95,390.93,0.95,294.8,0.95,262.76,0.95,275.57,0.95,339.66,0.95,422.97,0.95,506.29,0.95,563.96,0.95,602.42,0.95,647.28,0.95,637.66,0.95,653.69,0.95,653.69,0.95,660.1,0.95,685.73,0.95,666.5,0.95,666.5,0.95,672.91,0.95,685.73,0.95,679.32,0.95,679.32,0.95,672.91,0.95,685.73,0.95,660.1,0.95,679.32,0.95,647.28,0.95,666.5,0.95,660.1,0.95,634.46,0.95,615.23,0.95,570.37,0.95,525.51,0.95,493.47,0.95,448.61
1,429.38,1,390.93,1,294.8,1,259.55,1,272.37,1,339.66,1,429.38,1,506.29,1,570.37,1,602.42,1,647.28,1,640.87,1,647.28,1,653.69,1,656.89,1,685.73,1,666.5,1,672.91,1,679.32,1,685.73,1,679.32,1,679.32,1,679.32,1,692.14,1,660.1,1,685.73,1,647.28,1,672.91,1,660.1,1,634.46,1,621.64,1,570.37,1,528.72,1,493.47,1,448.61
1.05,429.38,1.05,390.93,1.05,294.8,1.05,259.55,1.05,272.37,1.05,339.66,1.05,422.97,1.05,499.88,1.05,570.37,1.05,596.01,1.05,647.28,1.05,640.87,1.05,644.07,1.05,656.89,1.05,656.89,1.05,685.73,1.05,666.5,1.05,672.91,1.05,688.93,1.05,679.32,1.05,679.32,1.05,682.53,1.05,672.91,1.05,685.73,1.05,660.1,1.05,679.32,1.05,647.28,1.05,672.91,1.05,653.69,1.05,634.46,1.05,621.64,1.05,570.37,1.05,531.92,1.05,487.06,1.05,448.61
1.1,435.79,1.1,390.93,1.1,294.8,1.1,262.76,1.1,275.57,1.1,333.25,1.1,422.97,1.1,499.88,1.1,563.96,1.1,596.01,1.1,653.69,1.1,640.87,1.1,640.87,1.1,653.69,1.1,656.89,1.1,685.73,1.1,666.5,1.1,672.91,1.1,679.32,1.1,682.53,1.1,685.73,1.1,685.73,1.1,672.91,1.1,682.53,1.1,660.1,1.1,679.32,1.1,647.28,1.1,672.91,1.1,653.69,1.1,634.46,1.1,615.23,1.1,570.37,1.1,531.92,1.1,487.06,1.1,448.61
1.15,432.59,1.15,390.93,1.15,294.8,1.15,262.76,1.15,272.37,1.15,333.25,1.15,422.97,1.15,506.29,1.15,563.96,1.15,599.21,1.15,653.69,1.15,637.66,1.15,653.69,1.15,653.69,1.15,660.1,1.15,685.73,1.15,666.5,1.15,666.5,1.15,672.91,1.15,685.73,1.15,679.32,1.15,682.53,1.15,672.91,1.15,682.53,1.15,660.1,1.15,679.32,1.15,647.28,1.15,666.5,1.15,660.1,1.15,634.46,1.15,615.23,1.15,570.37,1.15,531.92,1.15,493.47,1.15,448.61
1.2,429.38,1.2,390.93,1.2,294.8,1.2,262.76,1.2,272.37,1.2,339.66,1.2,429.38,1.2,506.29,1.2,567.17,1.2,602.42,1.2,647.28,1.2,637.66,1.2,650.48,1.2,653.69,1.2,660.1,1.2,685.73,1.2,666.5,1.2,672.91,1.2,672.91,1.2,685.73,1.2,679.32,1.2,679.32,1.2,676.12,1.2,692.14,1.2,660.1,1.2,685.73,1.2,647.28,1.2,672.91,1.2,660.1,1.2,634.46,1.2,621.64,1.2,570.37,1.2,525.51,1.2,493.47,1.2,448.61
1.25,429.38,1.25,390.93,1.25,294.8,1.25,259.55,1.25,272.37,1.25,339.66,1.25,429.38,1.25,506.29,1.25,570.37,1.25,596.01,1.25,647.28,1.25,640.87,1.25,647.28,1.25,660.1,1.25,656.89,1.25,685.73,1.25,663.3,1.25,672.91,1.25,685.73,1.25,685.73,1.25,679.32,1.25,679.32,1.25,672.91,1.25,685.73,1.25,660.1,1.25,682.53,1.25,647.28,1.25,672.91,1.25,660.1,1.25,631.26,1.25,621.64,1.25,570.37,1.25,531.92,1.25,487.06,1.25,448.61
1.3,432.59,1.3,390.93,1.3,294.8,1.3,262.76,1.3,275.57,1.3,339.66,1.3,422.97,1.3,499.88,1.3,570.37,1.3,596.01,1.3,647.28,1.3,640.87,1.3,644.07,1.3,653.69,1.3,656.89,1.3,685.73,1.3,666.5,1.3,672.91,1.3,685.73,1.3,679.32,1.3,679.32,1.3,685.73,1.3,672.91,1.3,685.73,1.3,660.1,1.3,679.32,1.3,647.28,1.3,672.91,1.3,653.69,1.3,634.46,1.3,621.64,1.3,570.37,1.3,531.92,1.3,487.06,1.3,448.61
1.35,435.79,1.35,390.93,1.35,294.8,1.35,262.76,1.35,272.37,1.35,333.25,1.35,422.97,1.35,499.88,1.35,563.96,1.35,596.01,1.35,653.69,1.35,640.87,1.35,647.28,1.35,653.69,1.35,656.89,1.35,685.73,1.35,666.5,1.35,669.71,1.35,676.12,1.35,685.73,1.35,682.53,1.35,685.73,1.35,672.91,1.35,685.73,1.35,660.1,1.35,679.32,1.35,647.28,1.35,672.91,1.35,656.89,1.35,634.46,1.35,615.23,1.35,570.37,1.35,531.92,1.35,490.26,1.35,455.02
1.4,432.59,1.4,390.93,1.4,294.8,1.4,262.76,1.4,272.37,1.4,339.66,1.4,422.97,1.4,506.29,1.4,563.96,1.4,602.42,1.4,647.28,1.4,640.87,1.4,653.69,1.4,653.69,1.4,660.1,1.4,685.73,1.4,666.5,1.4,666.5,1.4,672.91,1.4,685.73,1.4,679.32,1.4,679.32,1.4,672.91,1.4,685.73,1.4,660.1,1.4,679.32,1.4,647.28,1.4,666.5,1.4,660.1,1.4,634.46,1.4,615.23,1.4,570.37,1.4,525.51,1.4,493.47,1.4,448.61
1.45,429.38,1.45,390.93,1.45,294.8,1.45,262.76,1.45,272.37,1.45,339.66,1.45,429.38,1.45,506.29,1.45,570.37,1.45,599.21,1.45,647.28,1.45,637.66,1.45,647.28,1.45,653.69,1.45,660.1,1.45,685.73,1.45,666.5,1.45,672.91,1.45,672.91,1.45,685.73,1.45,679.32,1.45,679.32,1.45,682.53,1.45,692.14,1.45,660.1,1.45,685.73,1.45,647.28,1.45,672.91,1.45,660.1,1.45,634.46,1.45,621.64,1.45,570.37,1.45,525.51,1.45,493.47,1.45,448.61
1.5,429.38,1.5,390.93,1.5,294.8,1.5,262.76,1.5,272.37,1.5,339.66,1.5,422.97,1.5,499.88,1.5,573.58,1.5,596.01,1.5,647.28,1.5,640.87,1.5,644.07,1.5,656.89,1.5,656.89,1.5,685.73,1.5,666.5,1.5,672.91,1.5,688.93,1.5,679.32,1.5,679.32,1.5,685.73,1.5,672.91,1.5,685.73,1.5,660.1,1.5,679.32,1.5,647.28,1.5,672.91,1.5,653.69,1.5,634.46,1.5,621.64,1.5,570.37,1.5,531.92,1.5,487.06,1.5,448.61
1.55,435.79,1.55,390.93,1.55,294.8,1.55,262.76,1.55,275.57,1.55,333.25,1.55,422.97,1.55,499.88,1.55,567.17,1.55,596.01,1.55,653.69,1.55,640.87,1.55,640.87,1.55,653.69,1.55,656.89,1.55,685.73,1.55,666.5,1.55,672.91,1.55,679.32,1.55,682.53,1.55,682.53,1.55,685.73,1.55,672.91,1.55,685.73,1.55,660.1,1.55,679.32,1.55,647.28,1.55,672.91,1.55,653.69,1.55,634.46,1.55,615.23,1.55,570.37,1.55,531.92,1.55,487.06,1.55,448.61
1.6,432.59,1.6,390.93,1.6,294.8,1.6,262.76,1.6,272.37,1.6,333.25,1.6,422.97,1.6,503.08,1.6,563.96,1.6,596.01,1.6,650.48,1.6,640.87,1.6,653.69,1.6,653.69,1.6,660.1,1.6,688.93,1.6,666.5,1.6,666.5,1.6,672.91,1.6,685.73,1.6,679.32,1.6,679.32,1.6,672.91,1.6,685.73,1.6,660.1,1.6,679.32,1.6,647.28,1.6,666.5,1.6,660.1,1.6,634.46,1.6,615.23,1.6,570.37,1.6,531.92,1.6,493.47,1.6,448.61
1.65,429.38,1.65,390.93,1.65,294.8,1.65,262.76,1.65,272.37,1.65,339.66,1.65,429.38,1.65,506.29,1.65,567.17,1.65,602.42,1.65,647.28,1.65,640.87,1.65,650.48,1.65,653.69,1.65,660.1,1.65,685.73,1.65,666.5,1.65,672.91,1.65,672.91,1.65,685.73,1.65,679.32,1.65,679.32,1.65,672.91,1.65,692.14,1.65,660.1,1.65,685.73,1.65,647.28,1.65,669.71,1.65,660.1,1.65,634.46,1.65,621.64,1.65,570.37,1.65,525.51,1.65,493.47,1.65,448.61
